specimen_id,order,family,genus,species ,synonym,life_stage,lens,volume_mm3,area_mm2,breadth_mm,length_mm,width_mm,thickness_mm,flatness,anisotropy,elongation,sphericity ,eye_diameter_mm,axial_length_mm,lens_to_retina_mm,lens_diameter_mm,lens_depth_mm,sv_length_mm,stain,scan_type,adult_ecology,adult_ecology_2,ae_certainty,ae_source,activity_period,ap_source,ap_certainty ,comments,scan_source,scan_technician
JWS 880,anura,bufonidae,bufo,bufo,rana_bufo,adult,right,6.99301,18.5782,2.57749,2.61322,2.1681,2.14044,0.700636,0.322287,0.967283,0.951897,5,NA,3.4,2.46,2.03,47.2,iodine,dice_ct,ground-dwelling,terrestrial ,certain,Halliday (2016),nocturnal,Halliday (2016); Anderson and Wiens (2017),certain,cornea shrivelled ,BMNH,Dr_David_Gower
BMNH1985.1443,anura,bufonidae,capensibufo,tradouwi,bufo_tradouwi,adult,right,1.00461,5.0464,1.30861,1.36001,1.16868,1.17389,0.795449,0.224216,0.975279,0.961246,3,2.6,2.2,1.26,1.08,22.64,iodine,dice_ct,ground-dwelling,terrestrial ,uncertain ,FrogMap (2020),unknown,,,,BMNH,Dr_David_Gower
BMNH1985.1443,anura,bufonidae,capensibufo,tradouwi,bufo_tradouwi,adult,left,0.983292,4.97679,1.30427,1.3907,1.1337,1.14277,0.765862,0.29544,0.919957,0.960852,3.2,2.6,2.1,1.27,1.1,22.64,iodine,dice_ct,ground-dwelling,terrestrial ,uncertain ,FrogMap (2020),unknown,,,,BMNH,Dr_David_Gower
USNM159113,anura,bufonidae,capensibufo,rosei,capensibufo_rosei,adult,left,1.80539,7.25596,1.59427,1.63829,1.42606,,0.770732,0.234397,0.993346,0.988182,,,,,,,iodine,dice_ct,subfossorial,terrestrial ,certain,SANBI (2020),cathemeral,SANBI (2020),somewhat certain,,NMNH,Dr_Molly_Womack
USNM159113,anura,bufonidae,capensibufo,rosei,capensibufo_rosei,adult,right,1.77971,7.2054,1.57,1.63894,1.38818,,0.766275,0.289465,0.927259,0.985657,,,,,,,iodine,dice_ct,subfossorial,terrestrial ,certain,SANBI (2020),cathemeral,SANBI (2020),somewhat certain,,NMNH,Dr_Molly_Womack
USNM167018,anura,centrolenidae,centrolene,geckoideum,centrolene_geckoidea,adult,left,19.2864,36.5586,3.59514,3.70262,3.13738,3.03446,0.729093,0.304263,0.95425,0.951326,6.3,5.2,3.7,3.46,2.98,72.2,unstained,micro_ct,scansorial,terrestrial ,certain,"AmphibiaWeb (2020), IUCN (2020)",nocturnal,Anderson and Wiens (2017),certain,,NMNH,Dr_Molly_Womack
USNM167018,anura,centrolenidae,centrolene,geckoideum,centrolene_geckoidea,adult,right,17.9892,34.6945,3.47286,3.62096,3.07675,3.0583,0.77498,0.261447,0.952997,0.956969,6.5,5.4,3.8,3.34,3.04,72.2,unstained,micro_ct,scansorial,terrestrial ,certain,"AmphibiaWeb (2020), IUCN (2020)",nocturnal,Anderson and Wiens (2017),certain,,NMNH,Dr_Molly_Womack
MVZ173789,anura,ceratophryidae,ceratophrys,cornuta,ceratophrys_cornuta,adult,right,54.548,73.768,5.07157,5.31732,4.51022,4.3928,0.769214,0.289192,0.92407,0.942906,9.2,7.3,5.5,4.55,4.14,105.9,unstained,micro_ct,ground-dwelling,terrestrial ,somewhat certain,AmphibiaWeb (2020),nocturnal,AmphibiaWeb (2020),uncertain,,NMNH,Dr_Molly_Womack
MVZ173789,anura,ceratophryidae,ceratophrys,cornuta,ceratophrys_cornuta,adult,left,53.4485,73.4244,5.11626,5.26585,4.50908,4.5039,0.749653,0.278333,0.962667,0.934546,9.3,8.7,5.5,4.72,3.94,105.9,unstained,micro_ct,ground-dwelling,terrestrial ,somewhat certain,AmphibiaWeb (2020),nocturnal,AmphibiaWeb (2020),uncertain,,NMNH,Dr_Molly_Womack
UF63162,anura,ceratophryidae,ceratophrys,cornuta,ceratophrys_cornuta,adult,left,31.9593,51.7071,4.38473,4.45971,3.47591,3.43259,0.629159,0.386753,0.97471,0.941887,7.6,NA,4.4,4.1,3.5,,iodine,dice_ct,ground-dwelling,terrestrial ,somewhat certain,AmphibiaWeb (2020),nocturnal,AmphibiaWeb (2020),uncertain,"weird lenses, high contrast core, dim outer layer, cornea damaged",MorphoSource,
